date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,24,14,0.0,12.5,5,11,06:17 AM,09:27 PM,04:20 AM,07:40 PM,15,19,19,19,19,43,82,5.0,1010,24,10,119,12,Schoharie
2009-06-25,30,12,0.0,14.5,6,18,07:39 AM,09:58 PM,04:20 AM,07:40 PM,16,22,22,21,13,30,78,3.6,1008,30,10,265,8,Schoharie
2009-06-26,22,17,0.0,12.5,5,24,08:57 AM,10:25 PM,04:21 AM,07:40 PM,17,19,19,19,17,50,90,30.7,1005,22,8,268,10,Schoharie
2009-06-27,22,12,0.0,11.5,4,31,10:12 AM,10:49 PM,04:21 AM,07:40 PM,14,16,17,16,22,67,88,4.8,1007,22,6,308,14,Schoharie
2009-06-28,26,12,0.0,13.5,5,38,11:24 AM,11:12 PM,04:22 AM,07:40 PM,15,19,19,19,12,54,81,1.3,1004,26,6,203,7,Schoharie
2009-06-29,25,14,0.0,14.5,5,45,12:33 PM,11:36 PM,04:22 AM,07:39 PM,14,18,19,18,20,40,79,1.6,998,25,8,282,13,Schoharie
2009-06-30,22,14,0.0,12.5,4,51,01:42 PM,No moonset,04:22 AM,07:39 PM,16,17,18,17,19,55,92,35.7,1001,22,7,176,11,Schoharie
2009-07-01,22,13,0.0,13.5,5,58,02:49 PM,12:01 AM,04:23 AM,07:39 PM,17,18,18,18,13,63,94,12.7,1007,22,5,149,8,Schoharie
2009-07-02,21,14,0.0,10.5,4,65,03:55 PM,12:30 AM,04:23 AM,07:39 PM,17,18,18,18,13,83,97,28.2,1008,21,8,171,8,Schoharie
2009-07-03,22,13,0.0,11.5,4,72,04:57 PM,01:04 AM,04:24 AM,07:39 PM,15,17,18,17,23,70,86,3.6,1009,22,7,277,15,Schoharie
2009-07-04,20,11,0.0,12.5,4,78,05:54 PM,01:45 AM,04:25 AM,07:39 PM,12,15,16,15,31,48,79,1.3,1011,20,6,291,22,Schoharie
2009-07-05,23,8,0.0,14.5,5,85,06:44 PM,02:32 AM,04:25 AM,07:38 PM,9,14,16,14,23,8,70,0.0,1011,23,8,296,15,Schoharie
2009-07-06,24,5,0.0,14.5,5,92,07:27 PM,03:27 AM,04:26 AM,07:38 PM,10,16,16,16,8,22,71,2.2,1008,24,10,291,5,Schoharie
2009-07-07,20,9,0.0,14.5,4,99,08:02 PM,04:26 AM,04:27 AM,07:38 PM,14,15,15,15,12,37,92,14.6,1007,20,9,204,7,Schoharie
2009-07-08,21,9,0.0,12.5,4,94,08:31 PM,05:28 AM,04:27 AM,07:37 PM,11,14,15,14,17,45,82,4.9,1013,21,7,309,11,Schoharie
