date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,25,11,0.0,14.5,6,11,07:55 AM,10:29 PM,05:49 AM,08:32 PM,10,19,19,19,10,3,62,0.0,1011,25,10,236,8,Saratoga
2009-06-25,24,11,0.0,14.5,6,18,09:11 AM,11:05 PM,05:49 AM,08:32 PM,10,18,18,18,11,13,65,0.0,1013,24,10,243,9,Saratoga
2009-06-26,27,8,0.0,14.5,6,24,10:24 AM,11:36 PM,05:50 AM,08:32 PM,10,18,18,18,8,1,66,0.0,1013,27,9,254,6,Saratoga
2009-06-27,35,12,0.0,14.5,7,31,11:35 AM,No moonset,05:50 AM,08:32 PM,11,24,24,24,8,0,54,0.0,1012,35,10,207,6,Saratoga
2009-06-28,33,17,0.0,14.5,7,38,12:41 PM,12:03 AM,05:50 AM,08:32 PM,12,24,24,25,9,0,49,0.0,1011,33,10,234,7,Saratoga
2009-06-29,29,15,0.0,14.5,7,45,01:47 PM,12:30 AM,05:51 AM,08:32 PM,9,22,22,22,11,0,48,0.0,1009,29,10,226,8,Saratoga
2009-06-30,29,13,0.0,14.5,7,51,02:50 PM,12:58 AM,05:51 AM,08:32 PM,11,21,21,21,8,0,58,0.0,1009,29,10,218,6,Saratoga
2009-07-01,28,13,0.0,14.5,6,58,03:54 PM,01:28 AM,05:52 AM,08:32 PM,11,20,20,20,8,0,59,0.0,1010,28,10,229,6,Saratoga
2009-07-02,28,11,0.0,14.5,6,65,04:56 PM,02:00 AM,05:52 AM,08:32 PM,8,19,19,20,8,0,52,0.0,1011,28,10,239,6,Saratoga
2009-07-03,29,12,0.0,14.5,6,72,05:56 PM,02:38 AM,05:53 AM,08:32 PM,10,20,20,20,9,0,57,0.0,1014,29,10,237,7,Saratoga
2009-07-04,27,12,0.0,14.5,6,78,06:51 PM,03:22 AM,05:53 AM,08:32 PM,10,19,19,19,9,1,58,0.0,1015,27,10,258,7,Saratoga
2009-07-05,24,11,0.0,14.5,6,85,07:41 PM,04:11 AM,05:54 AM,08:32 PM,9,17,18,17,11,0,62,0.0,1016,24,10,273,9,Saratoga
2009-07-06,23,9,0.0,14.5,5,92,08:24 PM,05:05 AM,05:54 AM,08:31 PM,8,16,17,16,13,0,63,0.0,1016,23,10,296,10,Saratoga
2009-07-07,25,8,0.0,14.5,6,99,09:01 PM,06:03 AM,05:55 AM,08:31 PM,9,17,17,17,11,0,64,0.0,1014,25,10,262,8,Saratoga
2009-07-08,25,10,0.0,14.5,6,94,09:33 PM,07:02 AM,05:55 AM,08:31 PM,9,18,18,18,13,0,64,0.0,1014,25,10,271,10,Saratoga
