date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,29,12,0.0,11.6,7,11,08:12 AM,10:46 PM,06:15 AM,08:52 PM,12,21,21,21,12,2,59,0.0,1012,29,10,115,7,Greene
2009-06-25,32,11,0.0,11.6,7,18,09:29 AM,11:23 PM,06:15 AM,08:52 PM,12,22,22,22,8,8,58,0.0,1012,32,10,167,5,Greene
2009-06-26,30,14,0.0,11.6,6,24,10:41 AM,11:55 PM,06:16 AM,08:52 PM,17,24,24,23,10,22,71,3.8,1011,30,10,255,7,Greene
2009-06-27,32,20,0.0,11.6,6,31,11:51 AM,No moonset,06:16 AM,08:53 PM,19,26,26,25,13,19,73,1.4,1010,32,10,256,8,Greene
2009-06-28,32,15,0.0,11.6,6,38,12:57 PM,12:23 AM,06:16 AM,08:53 PM,16,24,24,24,14,10,69,0.8,1009,32,10,239,9,Greene
2009-06-29,27,14,0.0,11.6,6,45,02:01 PM,12:51 AM,06:17 AM,08:53 PM,13,21,21,21,17,9,65,0.1,1006,27,8,281,11,Greene
2009-06-30,28,13,0.0,11.6,6,51,03:05 PM,01:20 AM,06:17 AM,08:53 PM,11,21,21,21,23,7,58,0.0,1005,28,10,258,15,Greene
2009-07-01,28,13,0.0,11.6,6,58,04:08 PM,01:50 AM,06:18 AM,08:52 PM,12,21,21,20,18,15,60,0.1,1007,28,10,248,13,Greene
2009-07-02,24,13,0.0,10.5,5,65,05:10 PM,02:22 AM,06:18 AM,08:52 PM,13,19,20,19,16,37,72,0.1,1013,24,10,284,11,Greene
2009-07-03,26,10,0.0,11.6,6,72,06:09 PM,03:00 AM,06:19 AM,08:52 PM,11,18,19,18,11,10,70,0.0,1017,26,8,262,7,Greene
2009-07-04,28,11,0.0,11.6,6,78,07:05 PM,03:44 AM,06:19 AM,08:52 PM,12,20,20,20,8,16,66,0.0,1017,28,10,162,5,Greene
2009-07-05,24,18,0.0,10.5,5,85,07:55 PM,04:32 AM,06:20 AM,08:52 PM,17,21,21,21,14,56,82,12.9,1011,24,9,222,8,Greene
2009-07-06,28,17,0.0,11.6,5,92,08:39 PM,05:26 AM,06:20 AM,08:52 PM,17,23,23,22,12,41,77,8.4,1009,28,9,158,8,Greene
2009-07-07,29,12,0.0,11.6,6,99,09:17 PM,06:23 AM,06:21 AM,08:51 PM,11,21,21,21,13,5,58,0.0,1011,29,10,115,8,Greene
2009-07-08,30,14,0.0,11.6,5,94,09:50 PM,07:22 AM,06:21 AM,08:51 PM,14,21,21,21,14,9,67,1.4,1013,30,10,107,8,Greene
