date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,29,24,0.0,13.1,6,11,07:25 AM,08:49 PM,05:34 AM,06:46 PM,23,30,30,27,12,14,82,1.2,1013,29,10,135,8,kings
2009-06-25,27,24,0.0,13.1,6,18,08:31 AM,09:37 PM,05:34 AM,06:46 PM,24,30,30,26,24,42,90,30.2,1014,27,8,99,15,kings
2009-06-26,27,24,0.0,13.1,6,24,09:33 AM,10:19 PM,05:34 AM,06:46 PM,24,30,30,26,26,41,90,29.4,1014,27,8,91,16,kings
2009-06-27,28,25,0.0,12.0,6,31,10:31 AM,10:59 PM,05:35 AM,06:46 PM,24,30,30,26,34,48,88,27.3,1014,28,7,100,21,kings
2009-06-28,28,25,0.0,13.1,6,38,11:27 AM,11:37 PM,05:35 AM,06:46 PM,24,30,30,27,28,38,85,13.5,1014,28,9,104,19,kings
2009-06-29,27,25,0.0,13.1,6,45,12:21 PM,No moonset,05:35 AM,06:47 PM,24,30,30,26,28,34,86,31.7,1013,27,8,105,17,kings
2009-06-30,29,25,0.0,13.1,6,51,01:15 PM,12:14 AM,05:35 AM,06:47 PM,23,30,30,27,25,24,80,3.7,1013,29,10,102,17,kings
2009-07-01,27,25,0.0,13.1,6,58,02:08 PM,12:54 AM,05:36 AM,06:47 PM,24,30,30,26,26,27,86,18.4,1013,27,9,94,16,kings
2009-07-02,30,26,0.0,13.1,7,65,03:03 PM,01:35 AM,05:36 AM,06:47 PM,24,32,32,28,25,13,81,0.1,1015,30,10,83,17,kings
2009-07-03,29,26,0.0,13.1,6,72,03:57 PM,02:19 AM,05:36 AM,06:47 PM,25,32,32,28,22,29,84,7.5,1016,29,10,79,15,kings
2009-07-04,29,26,0.0,13.1,6,78,04:50 PM,03:07 AM,05:37 AM,06:47 PM,24,31,31,27,16,27,83,4.6,1015,29,10,84,11,kings
