date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,32,18,0.0,14.5,7,11,08:06 AM,11:13 PM,06:06 AM,09:24 PM,20,27,27,25,12,6,78,0.0,1012,32,10,259,7,Otsego
2009-06-25,31,20,0.0,14.5,6,18,09:28 AM,11:45 PM,06:07 AM,09:24 PM,20,27,27,25,14,24,75,1.8,1009,31,10,275,8,Otsego
2009-06-26,28,19,0.0,14.5,7,24,10:46 AM,No moonset,06:07 AM,09:24 PM,18,24,24,23,13,14,75,0.0,1010,28,10,295,8,Otsego
2009-06-27,28,16,0.0,14.5,6,31,12:00 PM,12:11 AM,06:08 AM,09:24 PM,18,23,23,22,16,26,78,0.1,1011,28,8,133,10,Otsego
2009-06-28,23,16,0.0,14.5,6,38,01:12 PM,12:35 AM,06:08 AM,09:24 PM,15,20,21,20,25,17,74,4.8,1005,23,10,270,17,Otsego
2009-06-29,21,15,0.0,12.5,4,45,02:21 PM,12:58 AM,06:08 AM,09:24 PM,14,18,18,18,25,37,78,1.6,1001,21,10,269,16,Otsego
2009-06-30,19,14,0.0,9.5,4,51,03:29 PM,01:22 AM,06:09 AM,09:24 PM,13,15,16,15,19,90,85,0.2,1002,19,10,294,13,Otsego
2009-07-01,16,13,0.0,9.5,3,58,04:36 PM,01:48 AM,06:09 AM,09:24 PM,13,14,14,14,12,89,96,5.9,1007,16,6,268,8,Otsego
2009-07-02,18,13,0.0,11.5,4,65,05:42 PM,02:17 AM,06:10 AM,09:24 PM,13,15,15,15,16,84,89,0.3,1012,18,7,300,11,Otsego
2009-07-03,22,13,0.0,12.5,5,72,06:44 PM,02:51 AM,06:10 AM,09:24 PM,14,18,19,18,15,45,82,0.0,1017,22,8,303,10,Otsego
2009-07-04,22,10,0.0,14.5,6,78,07:41 PM,03:33 AM,06:11 AM,09:23 PM,13,17,18,17,7,30,78,0.0,1016,22,10,183,5,Otsego
2009-07-05,25,10,0.0,14.5,6,85,08:30 PM,04:20 AM,06:12 AM,09:23 PM,14,19,19,19,10,14,75,0.2,1013,25,8,197,7,Otsego
2009-07-06,25,13,0.0,14.5,6,92,09:13 PM,05:15 AM,06:12 AM,09:23 PM,13,20,20,19,17,12,69,0.0,1010,25,10,284,11,Otsego
2009-07-07,23,12,0.0,14.5,6,99,09:48 PM,06:14 AM,06:13 AM,09:22 PM,11,17,18,17,16,9,70,0.0,1012,23,10,255,11,Otsego
2009-07-08,23,10,0.0,14.5,5,94,10:17 PM,07:16 AM,06:14 AM,09:22 PM,12,17,17,17,12,6,77,0.0,1016,23,9,118,7,Otsego
2009-07-09,26,14,0.0,14.5,6,88,10:42 PM,08:18 AM,06:14 AM,09:22 PM,14,21,21,20,17,11,72,0.0,1019,26,10,117,10,Otsego
2009-07-10,28,16,0.0,14.5,6,81,11:04 PM,09:21 AM,06:15 AM,09:21 PM,16,22,22,22,18,15,73,0.0,1018,28,10,166,11,Otsego
2009-07-11,26,15,0.0,14.5,5,74,11:25 PM,10:23 AM,06:16 AM,09:21 PM,17,22,22,21,20,22,78,6.1,1016,26,8,280,13,Otsego
