date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,31,15,0.0,14.5,7,11,07:52 AM,10:47 PM,05:54 AM,08:57 PM,15,23,23,23,9,8,67,0.0,1012,31,9,211,5,Steuben
2009-06-25,33,17,0.0,14.5,7,18,09:11 AM,11:21 PM,05:54 AM,08:57 PM,17,26,26,25,13,12,63,0.0,1010,33,10,215,8,Steuben
2009-06-26,29,18,0.0,13.5,6,24,10:27 AM,11:49 PM,05:54 AM,08:57 PM,17,24,24,23,15,24,71,4.6,1008,29,10,230,10,Steuben
2009-06-27,28,13,0.0,14.5,6,31,11:40 AM,No moonset,05:55 AM,08:57 PM,14,21,21,20,13,13,67,0.0,1011,28,9,256,8,Steuben
2009-06-28,27,14,0.0,13.5,5,38,12:49 PM,12:14 AM,05:55 AM,08:57 PM,15,21,21,20,17,31,74,1.8,1006,27,10,210,11,Steuben
2009-06-29,27,14,0.0,14.5,6,45,01:57 PM,12:39 AM,05:55 AM,08:57 PM,12,21,21,21,17,19,61,0.3,1001,27,10,256,11,Steuben
2009-06-30,21,16,0.0,13.5,4,51,03:03 PM,01:05 AM,05:56 AM,08:57 PM,17,18,19,18,15,55,91,25.4,1001,21,8,254,10,Steuben
2009-07-01,22,12,0.0,14.5,4,58,04:09 PM,01:32 AM,05:56 AM,08:56 PM,16,18,19,18,11,56,91,13.4,1005,22,9,226,7,Steuben
2009-07-02,20,14,0.0,10.4,4,65,05:13 PM,02:02 AM,05:57 AM,08:56 PM,14,16,16,16,15,73,86,4.9,1010,20,8,250,9,Steuben
2009-07-03,21,14,0.0,9.4,4,72,06:14 PM,02:38 AM,05:57 AM,08:56 PM,15,17,18,17,17,84,84,2.6,1015,21,9,277,12,Steuben
2009-07-04,24,14,0.0,13.5,5,78,07:11 PM,03:20 AM,05:58 AM,08:56 PM,13,18,19,18,13,58,74,0.0,1016,24,7,290,9,Steuben
2009-07-05,26,12,0.0,14.5,6,85,08:01 PM,04:08 AM,05:59 AM,08:56 PM,13,19,19,19,8,21,70,0.0,1012,26,10,100,5,Steuben
2009-07-06,28,13,0.0,14.5,6,92,08:44 PM,05:02 AM,05:59 AM,08:55 PM,12,20,20,20,10,17,64,0.0,1010,28,10,272,7,Steuben
2009-07-07,25,16,0.0,14.5,6,99,09:20 PM,06:00 AM,06:00 AM,08:55 PM,11,21,21,20,17,12,58,0.0,1009,25,10,246,11,Steuben
2009-07-08,26,8,0.0,14.5,6,94,09:51 PM,07:01 AM,06:00 AM,08:55 PM,11,19,19,18,7,13,66,0.0,1014,26,10,192,5,Steuben
