date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,28,3,0.0,14.5,6,11,06:56 AM,10:35 PM,04:46 AM,08:51 PM,2,15,15,15,12,33,48,0.0,1010,28,10,166,8,bronx
2009-06-25,22,10,0.0,14.5,5,18,08:23 AM,11:01 PM,04:46 AM,08:51 PM,5,16,17,16,21,12,48,0.0,1012,22,10,222,14,bronx
2009-06-26,22,1,0.0,14.5,5,24,09:47 AM,11:22 PM,04:47 AM,08:51 PM,2,13,13,13,16,13,52,0.0,1016,22,10,230,11,bronx
2009-06-27,25,0,0.0,14.5,5,31,11:07 AM,11:40 PM,04:47 AM,08:51 PM,0,13,13,13,12,3,46,0.0,1021,25,10,215,8,bronx
2009-06-28,26,6,0.0,14.5,5,38,12:24 PM,11:58 PM,04:47 AM,08:51 PM,1,16,16,16,17,1,40,0.0,1016,26,10,217,11,bronx
2009-06-29,26,2,0.0,14.5,5,45,01:39 PM,No moonset,04:48 AM,08:51 PM,-1,14,14,14,13,4,41,0.0,1014,26,10,199,8,bronx
2009-06-30,25,2,0.0,14.5,5,51,02:52 PM,12:17 AM,04:49 AM,08:51 PM,-2,15,15,15,12,1,37,0.0,1013,25,10,230,8,bronx
2009-07-01,27,8,0.0,14.5,6,58,04:04 PM,12:37 AM,04:49 AM,08:51 PM,-2,17,17,17,12,0,28,0.0,1016,27,10,200,8,bronx
2009-07-02,32,7,0.0,14.5,6,65,05:14 PM,01:03 AM,04:50 AM,08:50 PM,-1,18,18,19,12,0,30,0.0,1015,32,10,143,7,bronx
2009-07-03,34,9,0.0,14.5,6,72,06:19 PM,01:33 AM,04:51 AM,08:50 PM,3,20,20,21,13,3,33,0.0,1014,34,10,127,7,bronx
2009-07-04,32,9,0.0,14.5,7,78,07:18 PM,02:11 AM,04:51 AM,08:50 PM,3,20,20,21,14,3,37,0.0,1013,32,10,161,9,bronx
2009-07-05,32,13,0.0,14.5,7,85,08:06 PM,02:59 AM,04:52 AM,08:49 PM,5,21,21,22,15,11,36,0.0,1010,32,10,168,9,bronx
2009-07-06,19,10,0.0,12.7,3,92,08:45 PM,03:55 AM,04:53 AM,08:49 PM,11,15,15,15,18,36,78,11.9,1010,19,9,172,11,bronx
2009-07-07,20,5,0.0,14.5,4,99,09:15 PM,04:58 AM,04:54 AM,08:48 PM,5,12,13,12,14,23,62,2.6,1012,20,10,225,9,bronx
2009-07-08,19,3,0.0,14.5,3,94,09:40 PM,06:04 AM,04:55 AM,08:48 PM,7,12,12,12,13,24,69,6.2,1012,19,10,183,8,bronx
