date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,33,23,0.0,14.5,8,11,07:20 AM,10:21 PM,05:20 AM,08:32 PM,23,33,33,28,9,8,72,0.0,1012,33,10,267,6,Oswego
2009-06-25,33,23,0.0,14.5,6,18,08:40 AM,10:54 PM,05:20 AM,08:32 PM,24,32,32,27,11,17,82,2.6,1010,33,10,285,7,Oswego
2009-06-26,31,22,0.0,14.5,7,24,09:58 AM,11:22 PM,05:21 AM,08:32 PM,21,28,28,26,13,16,77,1.4,1010,31,9,161,8,Oswego
2009-06-27,30,18,0.0,14.5,7,31,11:12 AM,11:46 PM,05:21 AM,08:32 PM,18,25,25,24,17,19,68,2.2,1010,30,10,158,10,Oswego
2009-06-28,25,19,0.0,14.5,6,38,12:22 PM,No moonset,05:22 AM,08:32 PM,16,23,23,22,28,6,70,2.2,1008,25,10,290,18,Oswego
2009-06-29,23,18,0.0,14.5,5,45,01:31 PM,12:10 AM,05:22 AM,08:32 PM,14,20,21,20,25,23,70,0.7,1003,23,10,287,17,Oswego
2009-06-30,20,16,0.0,10.4,4,51,02:38 PM,12:34 AM,05:23 AM,08:32 PM,14,17,17,17,17,68,79,0.0,1005,20,10,302,12,Oswego
2009-07-01,18,14,0.0,9.4,4,58,03:45 PM,01:00 AM,05:23 AM,08:31 PM,13,16,16,16,12,92,83,0.7,1008,18,9,310,9,Oswego
2009-07-02,23,14,0.0,12.5,5,65,04:50 PM,01:30 AM,05:24 AM,08:31 PM,15,19,19,19,13,50,79,0.1,1014,23,9,315,9,Oswego
2009-07-03,26,15,0.0,14.5,6,72,05:52 PM,02:05 AM,05:24 AM,08:31 PM,16,21,21,20,11,23,79,0.0,1018,26,8,242,7,Oswego
2009-07-04,19,17,0.0,11.4,4,78,06:48 PM,02:46 AM,05:25 AM,08:31 PM,17,18,18,18,14,57,93,5.8,1016,19,7,104,8,Oswego
2009-07-05,27,15,0.0,14.5,5,85,07:38 PM,03:35 AM,05:25 AM,08:31 PM,18,22,22,21,10,35,82,0.7,1013,27,6,125,6,Oswego
2009-07-06,27,16,0.0,14.5,5,92,08:20 PM,04:29 AM,05:26 AM,08:30 PM,17,22,22,22,14,13,75,0.6,1012,27,10,309,9,Oswego
2009-07-07,26,17,0.0,14.5,6,99,08:56 PM,05:28 AM,05:27 AM,08:30 PM,16,20,20,20,11,30,80,1.0,1012,26,10,108,7,Oswego
2009-07-08,16,15,0.0,11.4,4,94,09:26 PM,06:29 AM,05:27 AM,08:30 PM,14,15,15,15,19,68,91,7.8,1015,16,9,87,11,Oswego
