date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,24,12,0.0,16.2,6,11,07:16 AM,11:10 PM,05:07 AM,09:29 PM,6,17,18,17,18,16,50,0.2,1011,24,10,253,12,Tompkins
2009-06-25,32,15,0.0,16.2,7,18,08:45 AM,11:33 PM,05:07 AM,09:29 PM,6,22,22,22,30,9,36,0.0,1007,32,10,200,19,Tompkins
2009-06-26,26,13,0.0,16.2,6,24,10:11 AM,11:52 PM,05:07 AM,09:29 PM,5,20,20,20,18,7,38,0.0,1008,26,10,268,11,Tompkins
2009-06-27,22,14,0.0,16.2,5,31,11:34 AM,No moonset,05:08 AM,09:29 PM,4,18,18,18,28,19,42,0.2,1013,22,10,312,20,Tompkins
2009-06-28,29,10,0.0,16.2,6,38,12:53 PM,12:09 AM,05:08 AM,09:29 PM,5,19,19,20,18,4,46,0.0,1011,29,10,246,13,Tompkins
2009-06-29,26,14,0.0,16.2,6,45,02:09 PM,12:25 AM,05:09 AM,09:29 PM,7,19,19,19,22,9,46,0.0,1012,26,10,119,15,Tompkins
2009-06-30,28,15,0.0,16.2,5,51,03:25 PM,12:42 AM,05:10 AM,09:28 PM,9,21,21,20,20,14,50,0.0,1009,28,10,194,12,Tompkins
2009-07-01,23,12,0.0,16.2,5,58,04:38 PM,01:01 AM,05:10 AM,09:28 PM,6,18,18,18,21,7,48,0.0,1016,23,10,225,15,Tompkins
2009-07-02,25,10,0.0,16.2,6,65,05:50 PM,01:24 AM,05:11 AM,09:28 PM,2,18,18,18,14,11,37,0.0,1020,25,10,99,9,Tompkins
2009-07-03,23,15,0.0,16.2,5,72,06:57 PM,01:53 AM,05:12 AM,09:27 PM,9,19,20,19,20,34,54,9.9,1018,23,9,112,13,Tompkins
2009-07-04,23,12,0.0,16.2,4,78,07:56 PM,02:30 AM,05:12 AM,09:27 PM,9,17,17,17,13,28,64,0.9,1020,23,8,165,8,Tompkins
