date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,31,16,0.0,14.5,7,11,07:02 AM,09:57 PM,05:04 AM,08:06 PM,19,26,26,25,9,14,71,0.0,1012,31,10,181,5,Delaware
2009-06-25,32,20,0.0,14.5,6,18,08:21 AM,10:30 PM,05:04 AM,08:06 PM,21,29,29,26,14,13,75,3.2,1010,32,10,219,8,Delaware
2009-06-26,29,19,0.0,14.5,6,24,09:38 AM,10:59 PM,05:04 AM,08:06 PM,20,26,26,24,19,25,79,11.3,1008,29,9,208,11,Delaware
2009-06-27,27,17,0.0,14.5,6,31,10:50 AM,11:25 PM,05:05 AM,08:06 PM,15,22,22,22,13,20,67,0.0,1011,27,10,135,8,Delaware
2009-06-28,28,17,0.0,13.5,5,38,12:00 PM,11:49 PM,05:05 AM,08:06 PM,15,21,21,21,24,24,71,2.7,1006,28,10,240,15,Delaware
2009-06-29,25,16,0.0,14.5,5,45,01:07 PM,No moonset,05:05 AM,08:06 PM,14,21,21,20,26,17,70,0.4,1002,25,10,263,16,Delaware
2009-06-30,22,15,0.0,14.5,5,51,02:13 PM,12:14 AM,05:06 AM,08:06 PM,16,19,19,19,21,43,83,8.2,1002,22,10,283,14,Delaware
2009-07-01,22,14,0.0,12.5,4,58,03:19 PM,12:42 AM,05:06 AM,08:06 PM,15,18,18,18,10,62,86,8.1,1006,22,10,311,7,Delaware
2009-07-02,19,14,0.0,10.4,4,65,04:23 PM,01:13 AM,05:07 AM,08:06 PM,14,16,16,16,16,78,90,5.9,1012,19,9,293,11,Delaware
2009-07-03,22,14,0.0,10.4,4,72,05:25 PM,01:48 AM,05:07 AM,08:06 PM,15,17,18,17,18,56,86,0.8,1017,22,9,303,11,Delaware
2009-07-04,23,14,0.0,13.5,4,78,06:21 PM,02:30 AM,05:08 AM,08:05 PM,15,18,18,18,10,61,84,0.3,1017,23,7,231,5,Delaware
2009-07-05,25,14,0.0,14.5,6,85,07:11 PM,03:18 AM,05:09 AM,08:05 PM,15,19,19,19,13,35,82,0.0,1012,25,8,119,7,Delaware
2009-07-06,26,15,0.0,14.5,6,92,07:54 PM,04:12 AM,05:09 AM,08:05 PM,15,21,21,20,15,12,72,0.0,1010,26,9,305,8,Delaware
2009-07-07,25,15,0.0,14.5,6,99,08:30 PM,05:11 AM,05:10 AM,08:04 PM,13,21,21,20,15,15,66,0.0,1010,25,10,313,9,Delaware
2009-07-08,24,11,0.0,14.5,6,94,09:01 PM,06:11 AM,05:10 AM,08:04 PM,12,19,19,19,9,23,69,0.0,1014,24,10,187,6,Delaware
