date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,31,16,0.0,14.5,7,11,08:02 AM,10:57 PM,06:03 AM,09:06 PM,19,26,26,25,9,14,71,0.0,1012,31,10,181,5,Delaware
2009-06-25,32,20,0.0,14.5,6,18,09:21 AM,11:30 PM,06:04 AM,09:06 PM,21,29,29,26,14,13,75,3.2,1010,32,10,219,8,Delaware
2009-06-26,29,19,0.0,14.5,6,24,10:37 AM,11:59 PM,06:04 AM,09:06 PM,20,26,26,24,19,25,79,11.3,1008,29,9,208,11,Delaware
2009-06-27,27,17,0.0,14.5,6,31,11:50 AM,No moonset,06:04 AM,09:06 PM,15,22,22,22,13,20,67,0.0,1011,27,10,135,8,Delaware
2009-06-28,28,17,0.0,13.5,5,38,01:00 PM,12:24 AM,06:05 AM,09:06 PM,15,21,21,21,24,24,71,2.7,1006,28,10,240,15,Delaware
2009-06-29,25,16,0.0,14.5,5,45,02:07 PM,12:49 AM,06:05 AM,09:06 PM,14,21,21,20,26,17,70,0.4,1002,25,10,263,16,Delaware
2009-06-30,22,15,0.0,13.5,5,51,03:14 PM,01:15 AM,06:06 AM,09:06 PM,16,19,19,19,21,43,83,8.2,1002,22,10,283,14,Delaware
2009-07-01,22,14,0.0,12.5,4,58,04:19 PM,01:42 AM,06:06 AM,09:06 PM,15,18,18,18,10,62,86,8.1,1006,22,10,311,7,Delaware
2009-07-02,19,14,0.0,11.4,4,65,05:23 PM,02:12 AM,06:07 AM,09:06 PM,14,16,16,16,16,78,90,5.9,1012,19,9,293,11,Delaware
2009-07-03,22,14,0.0,11.4,4,72,06:24 PM,02:48 AM,06:07 AM,09:06 PM,15,17,18,17,18,56,86,0.8,1017,22,9,303,11,Delaware
2009-07-04,23,14,0.0,13.5,4,78,07:21 PM,03:30 AM,06:08 AM,09:05 PM,15,18,18,18,10,61,84,0.3,1017,23,7,231,5,Delaware
2009-07-05,25,14,0.0,14.5,6,85,08:11 PM,04:18 AM,06:08 AM,09:05 PM,15,19,19,19,13,35,82,0.0,1012,25,8,119,7,Delaware
2009-07-06,26,15,0.0,14.5,6,92,08:54 PM,05:13 AM,06:09 AM,09:05 PM,15,21,21,20,15,12,72,0.0,1010,26,9,305,8,Delaware
2009-07-07,25,15,0.0,14.5,6,99,09:30 PM,06:11 AM,06:10 AM,09:05 PM,13,21,21,20,15,15,66,0.0,1010,25,10,313,9,Delaware
2009-07-08,24,11,0.0,14.5,6,94,10:01 PM,07:11 AM,06:10 AM,09:04 PM,12,19,19,19,9,23,69,0.0,1014,24,10,187,6,Delaware
2009-07-09,26,16,0.0,14.5,5,88,10:27 PM,08:12 AM,06:11 AM,09:04 PM,14,21,21,20,13,28,69,0.8,1019,26,9,136,7,Delaware
2009-07-10,28,14,0.0,14.5,6,81,10:51 PM,09:13 AM,06:11 AM,09:03 PM,15,23,23,22,14,12,69,0.0,1020,28,10,174,9,Delaware
2009-07-11,26,19,0.0,13.5,5,74,11:13 PM,10:14 AM,06:12 AM,09:03 PM,20,23,23,22,24,23,88,24.8,1017,26,9,239,14,Delaware
2009-07-12,26,14,0.0,14.5,6,67,11:35 PM,11:14 AM,06:13 AM,09:03 PM,14,21,21,21,17,6,69,0.0,1017,26,10,270,10,Delaware
2009-07-13,24,14,0.0,14.5,6,61,11:58 PM,12:16 PM,06:14 AM,09:02 PM,11,19,20,19,16,10,63,0.0,1016,24,10,297,9,Delaware
2009-07-14,24,13,0.0,14.5,6,54,No moonrise,01:20 PM,06:14 AM,09:01 PM,11,18,20,18,13,16,62,0.0,1020,24,10,72,7,Delaware
2009-07-15,28,14,0.0,14.5,6,47,12:22 AM,02:26 PM,06:15 AM,09:01 PM,14,22,22,21,21,20,64,0.0,1016,28,10,182,13,Delaware
2009-07-16,27,18,0.0,14.5,6,40,12:51 AM,03:37 PM,06:16 AM,09:00 PM,18,23,23,23,19,18,76,0.0,1012,27,10,272,13,Delaware
2009-07-17,22,15,0.0,14.5,5,33,01:27 AM,04:49 PM,06:17 AM,09:00 PM,15,19,20,19,17,30,77,8.0,1009,22,9,266,10,Delaware
