date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,23,17,0.0,9.4,5,11,06:20 AM,09:22 PM,04:23 AM,07:34 PM,18,19,20,19,13,80,92,5.8,1009,23,7,119,8,Dutchess
2009-06-25,30,14,0.0,14.5,6,18,07:40 AM,09:55 PM,04:23 AM,07:34 PM,19,23,23,22,7,46,82,0.3,1009,30,7,206,4,Dutchess
2009-06-26,28,18,0.0,14.5,6,24,08:58 AM,10:22 PM,04:24 AM,07:34 PM,21,25,25,23,8,29,89,6.6,1006,28,9,255,5,Dutchess
2009-06-27,26,14,0.0,14.5,5,31,10:11 AM,10:47 PM,04:24 AM,07:34 PM,16,20,20,20,14,32,83,6.3,1007,26,7,323,9,Dutchess
2009-06-28,27,16,0.0,13.5,5,38,11:22 AM,11:12 PM,04:24 AM,07:34 PM,17,20,20,20,12,45,88,4.1,1004,27,7,203,7,Dutchess
2009-06-29,27,16,0.0,14.5,5,45,12:30 PM,11:36 PM,04:25 AM,07:34 PM,17,21,21,20,11,32,80,2.8,999,27,9,292,7,Dutchess
2009-06-30,28,14,0.0,14.5,5,51,01:38 PM,No moonset,04:25 AM,07:34 PM,16,21,21,20,14,27,79,3.3,1001,28,9,135,9,Dutchess
2009-07-01,25,14,0.0,14.5,5,58,02:44 PM,12:02 AM,04:26 AM,07:34 PM,18,20,20,19,8,46,90,7.6,1007,25,6,115,5,Dutchess
2009-07-02,22,16,0.0,10.4,5,65,03:49 PM,12:32 AM,04:26 AM,07:34 PM,19,19,20,19,12,70,96,16.3,1008,22,8,145,8,Dutchess
2009-07-03,25,15,0.0,14.5,5,72,04:51 PM,01:07 AM,04:27 AM,07:33 PM,17,19,19,19,14,36,88,10.4,1010,25,9,297,8,Dutchess
2009-07-04,24,14,0.0,14.5,6,78,05:48 PM,01:48 AM,04:27 AM,07:33 PM,13,18,19,18,21,22,72,0.3,1011,24,9,297,13,Dutchess
2009-07-05,26,11,0.0,14.5,6,85,06:38 PM,02:36 AM,04:28 AM,07:33 PM,11,18,18,18,11,9,67,0.0,1011,26,10,262,7,Dutchess
2009-07-06,30,13,0.0,14.5,6,92,07:21 PM,03:30 AM,04:29 AM,07:33 PM,14,21,21,21,7,12,69,0.0,1008,30,10,168,4,Dutchess
2009-07-07,25,14,0.0,14.5,5,99,07:57 PM,04:29 AM,04:29 AM,07:32 PM,16,19,20,19,10,38,84,3.1,1007,25,9,175,6,Dutchess
2009-07-08,25,13,0.0,14.5,6,94,08:26 PM,05:30 AM,04:30 AM,07:32 PM,13,19,19,19,15,21,73,0.5,1012,25,9,293,9,Dutchess
