date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,23,17,0.0,9.4,5,11,07:20 AM,10:22 PM,05:23 AM,08:33 PM,18,19,20,19,13,80,92,5.8,1009,23,7,119,8,Dutchess
2009-06-25,30,14,0.0,14.5,6,18,08:40 AM,10:55 PM,05:24 AM,08:34 PM,19,23,23,22,7,46,82,0.3,1009,30,7,206,4,Dutchess
2009-06-26,28,18,0.0,14.5,6,24,09:58 AM,11:23 PM,05:24 AM,08:34 PM,21,25,25,23,8,29,89,6.6,1006,28,9,255,5,Dutchess
2009-06-27,26,14,0.0,14.5,5,31,11:11 AM,11:48 PM,05:24 AM,08:34 PM,16,20,20,20,14,32,83,6.3,1007,26,7,323,9,Dutchess
2009-06-28,27,16,0.0,13.5,5,38,12:22 PM,No moonset,05:25 AM,08:34 PM,17,20,20,20,12,45,88,4.1,1004,27,7,203,7,Dutchess
2009-06-29,27,16,0.0,14.5,5,45,01:31 PM,12:11 AM,05:25 AM,08:34 PM,17,21,21,20,11,32,80,2.8,999,27,9,292,7,Dutchess
2009-06-30,28,14,0.0,14.5,5,51,02:38 PM,12:36 AM,05:26 AM,08:33 PM,16,21,21,20,14,27,79,3.3,1001,28,9,135,9,Dutchess
2009-07-01,25,14,0.0,14.5,5,58,03:44 PM,01:02 AM,05:26 AM,08:33 PM,18,20,20,19,8,46,90,7.6,1007,25,6,115,5,Dutchess
2009-07-02,22,16,0.0,10.4,5,65,04:49 PM,01:32 AM,05:27 AM,08:33 PM,19,19,20,19,12,70,96,16.3,1008,22,8,145,8,Dutchess
2009-07-03,25,15,0.0,14.5,5,72,05:51 PM,02:07 AM,05:27 AM,08:33 PM,17,19,19,19,14,36,88,10.4,1010,25,9,297,8,Dutchess
2009-07-04,24,14,0.0,14.5,6,78,06:48 PM,02:48 AM,05:28 AM,08:33 PM,13,18,19,18,21,22,72,0.3,1011,24,9,297,13,Dutchess
2009-07-05,26,11,0.0,14.5,6,85,07:38 PM,03:36 AM,05:29 AM,08:32 PM,11,18,18,18,11,9,67,0.0,1011,26,10,262,7,Dutchess
