date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,35,23,0.0,14.2,7,11,07:36 AM,09:53 PM,05:40 AM,07:56 PM,22,33,33,29,10,17,69,5.4,1009,35,10,77,6,Montgomery
2009-06-25,33,22,0.0,14.2,7,18,08:49 AM,10:32 PM,05:40 AM,07:56 PM,22,31,31,28,8,30,71,0.5,1011,33,10,156,5,Montgomery
2009-06-26,36,23,0.0,14.2,7,24,10:00 AM,11:06 PM,05:40 AM,07:56 PM,21,32,32,29,9,18,65,2.0,1011,36,10,253,6,Montgomery
2009-06-27,37,23,0.0,14.2,7,31,11:06 AM,11:38 PM,05:41 AM,07:56 PM,21,33,33,30,14,19,63,2.2,1011,37,10,252,9,Montgomery
2009-06-28,37,24,0.0,14.2,7,38,12:10 PM,No moonset,05:41 AM,07:56 PM,22,34,34,30,15,21,67,1.9,1010,37,10,257,9,Montgomery
2009-06-29,35,23,0.0,14.2,7,45,01:12 PM,12:08 AM,05:41 AM,07:56 PM,18,29,29,28,17,13,60,1.7,1007,35,10,237,10,Montgomery
2009-06-30,35,19,0.0,14.1,8,51,02:13 PM,12:38 AM,05:42 AM,07:56 PM,14,28,28,27,14,8,47,0.0,1007,35,10,326,9,Montgomery
2009-07-01,36,20,0.0,14.1,8,58,03:14 PM,01:11 AM,05:42 AM,07:56 PM,15,29,29,28,15,15,46,0.0,1009,36,10,254,9,Montgomery
2009-07-02,35,23,0.0,14.1,8,65,04:14 PM,01:46 AM,05:43 AM,07:56 PM,17,30,30,29,12,6,52,0.0,1013,35,10,291,8,Montgomery
2009-07-03,34,21,0.0,14.1,7,72,05:12 PM,02:25 AM,05:43 AM,07:56 PM,15,27,27,27,17,1,50,0.0,1016,34,10,185,10,Montgomery
2009-07-04,37,20,0.0,14.1,8,78,06:07 PM,03:10 AM,05:43 AM,07:56 PM,15,29,29,28,14,13,49,0.0,1016,37,10,131,8,Montgomery
2009-07-05,33,24,0.0,14.1,6,85,06:57 PM,03:59 AM,05:44 AM,07:56 PM,23,32,32,27,15,21,75,7.1,1012,33,10,225,9,Montgomery
2009-07-06,26,23,0.0,10.0,5,92,07:43 PM,04:52 AM,05:44 AM,07:56 PM,23,27,27,24,16,74,94,8.9,1010,26,7,244,10,Montgomery
2009-07-07,29,22,0.0,14.1,6,99,08:22 PM,05:48 AM,05:45 AM,07:56 PM,22,28,28,25,13,44,84,6.7,1010,29,7,255,8,Montgomery
2009-07-08,29,21,0.0,14.1,6,94,08:56 PM,06:45 AM,05:45 AM,07:55 PM,22,28,28,25,9,31,88,11.7,1011,29,7,240,6,Montgomery
