date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,28,16,0.0,15.6,6,11,07:36 AM,10:47 PM,05:38 AM,09:00 PM,17,23,23,22,15,8,76,0.0,1012,28,10,251,8,Niagara
2009-06-25,28,18,0.0,15.6,5,18,08:58 AM,11:19 PM,05:38 AM,09:00 PM,19,23,23,22,18,26,81,19.4,1008,28,9,238,10,Niagara
2009-06-26,25,18,0.0,15.5,5,24,10:16 AM,11:45 PM,05:39 AM,09:00 PM,17,21,21,21,19,39,83,16.9,1007,25,9,288,11,Niagara
2009-06-27,24,15,0.0,15.6,6,31,11:32 AM,No moonset,05:39 AM,09:00 PM,15,19,20,19,14,18,75,0.0,1010,24,10,300,9,Niagara
2009-06-28,21,16,0.0,15.5,4,38,12:44 PM,12:08 AM,05:39 AM,09:00 PM,16,18,18,18,17,36,90,8.0,1004,21,9,206,10,Niagara
2009-06-29,23,16,0.0,15.6,5,45,01:54 PM,12:31 AM,05:40 AM,09:00 PM,16,19,20,19,18,29,84,5.3,998,23,9,240,11,Niagara
2009-06-30,19,16,0.0,14.6,4,51,03:02 PM,12:54 AM,05:40 AM,09:00 PM,16,17,17,17,19,58,94,24.0,998,19,8,210,11,Niagara
2009-07-01,21,15,0.0,12.5,4,58,04:10 PM,01:19 AM,05:41 AM,08:59 PM,17,18,18,18,11,63,92,12.5,1005,21,9,227,7,Niagara
2009-07-02,20,16,0.0,11.5,4,65,05:16 PM,01:48 AM,05:41 AM,08:59 PM,17,18,18,18,10,67,95,28.3,1008,20,7,269,6,Niagara
2009-07-03,20,15,0.0,9.5,4,72,06:18 PM,02:22 AM,05:42 AM,08:59 PM,15,17,17,17,20,76,89,9.1,1012,20,10,286,13,Niagara
2009-07-04,20,13,0.0,13.5,5,78,07:16 PM,03:02 AM,05:43 AM,08:59 PM,13,16,17,16,21,26,78,0.4,1014,20,10,284,14,Niagara
2009-07-05,23,10,0.0,14.5,6,85,08:06 PM,03:50 AM,05:43 AM,08:58 PM,12,18,19,18,13,9,71,0.3,1012,23,10,235,7,Niagara
2009-07-06,23,14,0.0,14.5,5,92,08:48 PM,04:44 AM,05:44 AM,08:58 PM,15,19,19,19,12,25,80,3.6,1008,23,9,270,8,Niagara
2009-07-07,18,13,0.0,11.5,4,99,09:23 PM,05:44 AM,05:45 AM,08:58 PM,12,15,15,15,17,49,83,5.1,1008,18,9,292,12,Niagara
2009-07-08,22,12,0.0,12.5,4,94,09:52 PM,06:46 AM,05:45 AM,08:57 PM,13,16,17,16,13,49,83,3.0,1014,22,10,285,9,Niagara
