date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,17,15,0.0,9.5,4,11,07:10 AM,10:15 PM,05:13 AM,08:27 PM,15,16,16,16,15,100,97,4.6,1009,17,4,29,9,Putnam
2009-06-25,24,16,0.0,11.5,5,18,08:30 AM,10:47 PM,05:14 AM,08:27 PM,18,19,20,19,10,68,90,1.4,1009,24,6,120,6,Putnam
2009-06-26,25,17,0.0,12.5,5,24,09:48 AM,11:15 PM,05:14 AM,08:27 PM,19,21,21,20,15,50,90,3.3,1006,25,9,229,9,Putnam
2009-06-27,25,15,0.0,14.5,5,31,11:02 AM,11:39 PM,05:15 AM,08:27 PM,18,21,21,20,7,21,87,9.8,1006,25,8,214,4,Putnam
2009-06-28,19,15,0.0,10.5,4,38,12:13 PM,No moonset,05:15 AM,08:27 PM,16,17,17,17,13,85,94,5.5,1004,19,7,100,9,Putnam
2009-06-29,23,16,0.0,13.5,5,45,01:22 PM,12:03 AM,05:15 AM,08:27 PM,18,19,20,19,11,55,93,12.8,998,23,7,225,6,Putnam
2009-06-30,25,16,0.0,14.5,5,51,02:30 PM,12:27 AM,05:16 AM,08:27 PM,17,21,21,20,13,24,83,2.2,1003,25,9,101,9,Putnam
2009-07-01,21,16,0.0,11.5,4,58,03:37 PM,12:53 AM,05:16 AM,08:26 PM,17,18,18,18,13,65,96,30.6,1009,21,9,108,8,Putnam
2009-07-02,21,16,0.0,11.5,4,65,04:42 PM,01:23 AM,05:17 AM,08:26 PM,17,18,18,18,12,86,97,17.5,1009,21,8,147,8,Putnam
2009-07-03,23,16,0.0,14.5,5,72,05:44 PM,01:57 AM,05:18 AM,08:26 PM,18,20,21,20,10,50,92,13.5,1009,23,6,211,6,Putnam
2009-07-04,24,15,0.0,14.5,5,78,06:41 PM,02:37 AM,05:18 AM,08:26 PM,15,19,20,19,23,27,77,3.6,1009,24,9,293,14,Putnam
2009-07-05,24,13,0.0,14.5,6,85,07:32 PM,03:26 AM,05:19 AM,08:26 PM,13,18,19,18,19,12,71,0.0,1010,24,10,274,12,Putnam
2009-07-06,26,14,0.0,14.5,6,92,08:14 PM,04:19 AM,05:19 AM,08:25 PM,15,20,20,20,11,13,75,0.0,1008,26,10,213,6,Putnam
2009-07-07,21,13,0.0,13.5,4,99,08:49 PM,05:19 AM,05:20 AM,08:25 PM,16,17,17,17,15,47,93,22.0,1009,21,7,167,9,Putnam
2009-07-08,23,14,0.0,14.5,4,94,09:19 PM,06:20 AM,05:21 AM,08:25 PM,16,17,18,17,13,47,91,13.4,1012,23,8,93,8,Putnam
