date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,32,19,0.0,14.5,7,11,07:20 AM,10:29 PM,05:19 AM,08:41 PM,22,29,29,26,15,18,80,0.0,1012,32,10,306,8,Madison
2009-06-25,31,19,0.0,14.5,6,18,08:41 AM,11:01 PM,05:20 AM,08:41 PM,22,28,28,25,11,15,84,2.6,1010,31,10,167,6,Madison
2009-06-26,28,18,0.0,14.5,7,24,10:00 AM,11:27 PM,05:20 AM,08:41 PM,19,25,25,24,13,0,77,0.0,1011,28,10,190,8,Madison
2009-06-27,27,17,0.0,14.5,5,31,11:16 AM,11:50 PM,05:20 AM,08:41 PM,19,23,23,22,24,22,84,4.4,1009,27,7,188,14,Madison
2009-06-28,23,16,0.0,14.5,6,38,12:27 PM,No moonset,05:21 AM,08:41 PM,14,20,20,20,30,6,70,0.1,1007,23,10,281,18,Madison
2009-06-29,20,16,0.0,10.5,4,45,01:37 PM,12:13 AM,05:21 AM,08:41 PM,12,18,18,18,29,45,70,0.1,1003,20,10,296,19,Madison
2009-06-30,17,13,0.0,10.5,4,51,02:45 PM,12:36 AM,05:22 AM,08:41 PM,12,14,15,14,20,73,83,0.3,1005,17,9,317,14,Madison
2009-07-01,16,11,0.0,9.5,3,58,03:53 PM,01:01 AM,05:22 AM,08:41 PM,12,13,14,13,16,89,87,0.5,1009,16,7,330,11,Madison
2009-07-02,23,12,0.0,13.5,4,65,04:59 PM,01:31 AM,05:23 AM,08:40 PM,14,17,18,17,17,47,83,0.0,1014,23,9,315,11,Madison
2009-07-03,24,13,0.0,14.5,6,72,06:02 PM,02:04 AM,05:23 AM,08:40 PM,16,19,20,19,8,13,82,0.0,1018,24,8,277,5,Madison
2009-07-04,23,15,0.0,13.5,5,78,06:59 PM,02:45 AM,05:24 AM,08:40 PM,17,19,20,19,8,41,88,1.1,1015,23,8,173,5,Madison
2009-07-05,25,12,0.0,14.5,6,85,07:49 PM,03:33 AM,05:25 AM,08:40 PM,15,20,20,20,13,35,78,0.1,1013,25,8,299,8,Madison
2009-07-06,26,13,0.0,14.5,6,92,08:30 PM,04:27 AM,05:25 AM,08:39 PM,14,19,20,19,16,13,73,0.0,1012,26,10,314,10,Madison
2009-07-07,25,13,0.0,14.5,6,99,09:05 PM,05:27 AM,05:26 AM,08:39 PM,15,19,20,19,9,24,77,0.0,1012,25,10,126,5,Madison
2009-07-08,20,14,0.0,12.5,4,94,09:34 PM,06:29 AM,05:27 AM,08:38 PM,13,15,16,15,17,42,85,0.7,1015,20,8,102,11,Madison
