date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-06-24,36,23,0.0,14.5,8,11,07:44 AM,10:29 PM,05:44 AM,08:37 PM,21,32,32,29,7,9,63,0.0,1013,36,10,166,4,Fulton
2009-06-25,35,21,0.0,14.5,8,18,09:01 AM,11:04 PM,05:44 AM,08:37 PM,21,32,32,28,11,12,68,0.0,1011,35,10,246,7,Fulton
2009-06-26,35,24,0.0,14.5,8,24,10:16 AM,11:34 PM,05:45 AM,08:37 PM,22,32,32,29,13,7,70,0.0,1010,35,9,142,8,Fulton
2009-06-27,37,22,0.0,14.5,8,31,11:28 AM,No moonset,05:45 AM,08:37 PM,21,33,33,29,18,3,64,0.0,1010,37,10,211,11,Fulton
2009-06-28,29,20,0.0,14.5,7,38,12:36 PM,12:01 AM,05:45 AM,08:37 PM,15,24,24,24,22,7,60,0.4,1013,29,10,323,14,Fulton
2009-06-29,31,18,0.0,14.5,7,45,01:43 PM,12:26 AM,05:46 AM,08:37 PM,12,24,24,24,25,1,49,0.0,1009,31,10,283,16,Fulton
2009-06-30,30,18,0.0,14.5,7,51,02:48 PM,12:53 AM,05:46 AM,08:37 PM,14,23,23,23,17,5,60,0.0,1007,30,10,294,11,Fulton
2009-07-01,28,15,0.0,14.5,6,58,03:52 PM,01:21 AM,05:47 AM,08:37 PM,16,22,22,22,16,20,71,0.0,1010,28,8,239,11,Fulton
2009-07-02,29,15,0.0,14.5,7,65,04:56 PM,01:53 AM,05:47 AM,08:37 PM,16,23,23,23,12,6,69,0.0,1015,29,8,187,8,Fulton
2009-07-03,29,15,0.0,14.5,5,72,05:56 PM,02:29 AM,05:48 AM,08:36 PM,16,22,22,21,12,17,72,0.5,1019,29,9,102,6,Fulton
2009-07-04,28,19,0.0,11.4,5,78,06:52 PM,03:12 AM,05:48 AM,08:36 PM,20,24,24,22,21,58,89,28.6,1012,28,8,208,12,Fulton
2009-07-05,25,18,0.0,10.3,5,85,07:42 PM,04:01 AM,05:49 AM,08:36 PM,18,21,21,21,16,72,85,4.1,1013,25,6,105,11,Fulton
